TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2024/11/23
TIME	02:53:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-760, Rev. 1.00
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  500.0000
LASTX	  250.0000
NPOINTS	     501
FIRSTY	     0.00323
MAXY	     1.25536
MINY	     0.00247
XYDATA
495.5	0.00334444	0.00279966	0.00279426	0.00276717	0.00271526	0.00271289	0.00266822	0.00262415	0.0025619	0.00256541	0.00239755	0.00246004	0.00229628	0.00215854	0.00202645	0.00163835	0.000901664	-9.72586E-005	-0.000798607	-0.0014089	-0.00174348	-0.0019851	-0.00227721	-0.00240628	-0.00268033	-0.0028935	-0.00304081	-0.00319874	-0.00332626	-0.00354882	-0.00366981	-0.00379775	-0.00398295	-0.00411504	-0.00424316	-0.00443127	-0.00454151	-0.00467841	-0.00476258	-0.00474013	-0.00479311	-0.00477072	-0.00475088	-0.00460304	-0.00451852	-0.00426769
495	0.00333268	0.00277739	0.00277293	0.0027879	0.00269667	0.00272981	0.00268164	0.00259789	0.00253743	0.00257764	0.00241935	0.00248106	0.00232651	0.00219186	0.00201783	0.00159921	0.000888295	-7.00002E-005	-0.000767488	-0.00136863	-0.00164732	-0.00200477	-0.00226136	-0.00240462	-0.00261714	-0.00292659	-0.00303873	-0.00318972	-0.00329253	-0.00348682	-0.00363115	-0.00382989	-0.00396834	-0.00409705	-0.00421863	-0.00432715	-0.00450207	-0.00466161	-0.00472255	-0.00477215	-0.00474494	-0.00477333	-0.00470841	-0.00459592	-0.00452191	-0.00425291
494.5	0.00335959	0.00284445	0.00276872	0.00276438	0.00272465	0.00269305	0.00264696	0.00261833	0.00252389	0.00258887	0.00236174	0.0024835	0.00232699	0.00213478	0.00201593	0.00164388	0.000914553	-7.17185E-005	-0.000763682	-0.00141615	-0.0016978	-0.00195226	-0.00225529	-0.0024437	-0.00267024	-0.00289873	-0.0030215	-0.00316346	-0.00332989	-0.00352993	-0.00367539	-0.00382549	-0.00397796	-0.00413482	-0.00420966	-0.00436474	-0.00450617	-0.00464385	-0.00475735	-0.00477226	-0.00480814	-0.00479465	-0.0047014	-0.00459146	-0.00447112	-0.00425902
494	0.00335886	0.00282168	0.0027099	0.00277725	0.00270265	0.00266517	0.00263458	0.00258439	0.00251805	0.00257269	0.00237015	0.00240704	0.00231943	0.00218537	0.00200433	0.00159907	0.000855554	-5.50465E-005	-0.000761681	-0.00135303	-0.00166361	-0.00199249	-0.00221783	-0.00240172	-0.00267025	-0.00292382	-0.00302841	-0.00321242	-0.00329706	-0.00348148	-0.0036744	-0.00386619	-0.00398463	-0.00413514	-0.00423712	-0.00433358	-0.00450529	-0.00469512	-0.00472571	-0.00477846	-0.00475761	-0.00483162	-0.00466038	-0.00465087	-0.00450036	-0.00428547
493.5	0.00339401	0.00286408	0.00276804	0.00275438	0.00277505	0.00266552	0.0026638	0.00262163	0.00252873	0.00255623	0.00236854	0.00246554	0.00235916	0.00217248	0.00201478	0.00164165	0.000939949	-7.83365E-005	-0.000748442	-0.00139651	-0.00168916	-0.001954	-0.00224849	-0.00242567	-0.00269045	-0.00283491	-0.00303085	-0.00316034	-0.00331174	-0.00354736	-0.00365511	-0.00383733	-0.00393421	-0.00418391	-0.00417815	-0.00433008	-0.00450453	-0.00466894	-0.00473267	-0.00473819	-0.0047882	-0.00480329	-0.00470291	-0.00459077	-0.00444769	-0.00427698
493	0.0033243	0.00287283	0.00274453	0.00276532	0.0027519	0.00265918	0.00261606	0.00262503	0.00259872	0.00258755	0.0023903	0.0024112	0.00234034	0.00223616	0.00204669	0.00164298	0.000912761	-4.8267E-005	-0.000725382	-0.00134571	-0.00165647	-0.00199503	-0.00218831	-0.00242369	-0.00269442	-0.00287831	-0.00301456	-0.00321366	-0.00333899	-0.0035088	-0.00365741	-0.0038644	-0.003963	-0.00412854	-0.00426936	-0.00433672	-0.00453338	-0.00470212	-0.00471186	-0.00477453	-0.00481046	-0.00483986	-0.00471501	-0.00461642	-0.00445118	-0.00435276
492.5	0.00333034	0.0028658	0.00275265	0.0027324	0.00276845	0.00266112	0.00267069	0.00257838	0.00254233	0.00257429	0.00238172	0.00242758	0.00236569	0.00221197	0.00200705	0.00163381	0.000924383	-8.09541E-005	-0.000767453	-0.0013727	-0.00166499	-0.00197848	-0.00229126	-0.00245525	-0.0027021	-0.00281531	-0.0030327	-0.00314811	-0.00337862	-0.00351957	-0.00368386	-0.003869	-0.00392922	-0.00419597	-0.00420589	-0.00436768	-0.00453346	-0.00462677	-0.00473529	-0.00475495	-0.00481428	-0.00480056	-0.00474544	-0.00458133	-0.00441918	-0.00427497
492	0.00334079	0.00294266	0.00281721	0.00282018	0.00280225	0.00264621	0.00265405	0.0026177	0.00260137	0.00262649	0.00246416	0.00241677	0.00235274	0.00230866	0.00206437	0.00166065	0.000918381	-2.73249E-011	-0.000701586	-0.00130974	-0.00161706	-0.00195597	-0.00223852	-0.00239817	-0.00267068	-0.00278686	-0.0029872	-0.00317994	-0.00330842	-0.00349065	-0.00367073	-0.00383871	-0.0039692	-0.00412226	-0.004174	-0.00435337	-0.00449343	-0.00462636	-0.00466526	-0.00476742	-0.00476225	-0.00477283	-0.00463948	-0.00454409	-0.00442649	-0.00432629
491.5	0.00330563	0.0028538	0.00274689	0.00275158	0.00277647	0.00265827	0.00265494	0.00256609	0.00251453	0.00255652	0.00240958	0.00240548	0.00240821	0.00230403	0.00202398	0.00159906	0.000927825	-3.36188E-005	-0.000739303	-0.00137163	-0.00166422	-0.00198799	-0.00228093	-0.002453	-0.0026787	-0.00275942	-0.00304636	-0.00316278	-0.00338522	-0.00353187	-0.00367264	-0.00388444	-0.00394859	-0.00417732	-0.00418724	-0.00434132	-0.00449996	-0.00461282	-0.00472846	-0.00475127	-0.00478085	-0.00476018	-0.00469413	-0.00455954	-0.00446866	-0.00428905
491	0.00329999	0.00291315	0.0027741	0.00278325	0.00278325	0.00263624	0.00264088	0.00260037	0.00257643	0.00256295	0.00240685	0.00237977	0.00235672	0.00231265	0.00204686	0.00163001	0.000934665	-1.95322E-005	-0.000734482	-0.00133973	-0.00170816	-0.00196832	-0.00228335	-0.00242026	-0.00268802	-0.00275133	-0.0029907	-0.00314638	-0.00340059	-0.0035239	-0.00371034	-0.00388075	-0.00397263	-0.00416496	-0.00421206	-0.00440124	-0.00450322	-0.00462896	-0.00472827	-0.00474057	-0.00476819	-0.00477591	-0.00464423	-0.00455685	-0.00445707	-0.00430038
